update,episodes,env_steps,mean_ep_reward,mean_ep_coverage,coverage_ratio,mean_ep_length,completion_rate,timeout_rate,collision_end_rate,wall_collision_rate,robot_collision_rate,human_collision_rate,wall_collisions_per_episode,robot_collisions_per_episode,human_collisions_per_episode,guide_hits_per_episode,guide_hit_rate,actor_loss,critic_loss,entropy,std
1470,50,18816000,-8038.6509,1.0,0.5841,2047.4,1.0,0.0,0.0,0.006354,0.00375,0.053802,2.7167,0.8,77.4834,183.433,0.094349,-0.0036,7.9582,-13.2138,1.2525
1480,100,18944000,-16981.5938,1.0,0.8187,2182.3,1.0,0.0,0.0,0.002344,0.001719,0.057292,5.75,40.1335,120.45,185.5829,0.087187,-0.0032,7.5823,-13.12,1.2586
1490,155,19072000,-18167.5449,1.0,0.8449,2151.6,1.0,0.0,0.0,0.006224,0.005156,0.060365,5.7,55.0332,123.1167,180.5997,0.08026,-0.0036,8.4235,-12.8007,1.2668
1500,212,19200000,-45540.2148,0.9996,0.7319,2463.8,0.85,0.15,0.0,0.001693,0.021797,0.175547,6.55,124.5002,280.5346,184.2163,0.064141,-0.0015,22.2562,-11.7673,1.2726
1510,248,19328000,-121830.9609,0.9964,0.8079,3072.1,0.75,0.25,0.0,0.002578,0.059245,0.292995,14.7334,45.7999,806.4614,182.5163,0.050911,-0.0023,36.6876,-10.404,1.2796
1520,297,19456000,-94147.2344,0.991,0.6524,2898.9,0.75,0.25,0.0,0.034505,0.006146,0.270547,13.6666,170.7819,579.8492,176.7997,0.059089,-0.0026,36.277,-10.8308,1.2836
1530,335,19584000,-168308.2188,0.9543,0.6846,3318.9,0.55,0.45,0.0,0.011016,0.041875,0.237604,18.0166,70.8496,1101.847,170.0997,0.059245,-0.0023,30.7488,-11.1768,1.2896
1540,369,19712000,-139531.1875,0.9711,0.7143,3185.1,0.65,0.35,0.0,0.012214,0.056354,0.346953,40.4002,76.3834,887.6461,180.1163,0.046849,-0.0026,42.7833,-10.2827,1.2909
1550,411,19840000,-172192.1094,0.9745,0.6783,3355.8,0.45,0.55,0.0,0.0075,0.048385,0.321667,79.0158,88.4668,1061.7784,173.1664,0.05276,-0.0019,39.3134,-10.2482,1.2934
1560,441,19968000,-191721.4531,0.9745,0.7492,3464.8,0.45,0.55,0.0,0.030365,0.039792,0.357292,7.65,85.1003,1263.8569,167.8331,0.043698,-0.0022,44.9366,-10.1996,1.2964
1570,482,20096000,-216236.7031,0.9281,0.7237,3563.9,0.3,0.7,0.0,0.009062,0.014062,0.400937,90.3495,115.9334,1332.0452,154.5665,0.042891,-0.0023,45.6589,-10.2747,1.3006
1580,520,20224000,-153407.3438,0.9797,0.7184,3287.6,0.5,0.5,0.0,0.005495,0.020052,0.314453,36.3666,45.4333,993.9962,176.2663,0.054896,-0.0026,37.484,-10.721,1.302
1590,559,20352000,-113113.7344,0.9902,0.7483,2944.1,0.6,0.4,0.0,0.015417,0.014271,0.370208,34.5003,52.6333,725.3638,176.0497,0.046328,-0.0025,44.0003,-10.2018,1.3082
1600,597,20480000,-208551.3438,0.9408,0.7437,3458.5,0.45,0.55,0.0,0.015286,0.04263,0.348385,89.8,84.9001,1292.531,158.7164,0.051328,-0.0024,41.7271,-10.8168,1.3085
1610,642,20608000,-153299.2344,0.9384,0.7485,3283.1,0.45,0.55,0.0,0.011849,0.02651,0.223411,76.6987,128.0826,923.5757,167.1997,0.060417,-0.0024,28.8928,-11.5841,1.3118
1620,678,20736000,-153274.5938,0.9857,0.7153,3337.0,0.5,0.5,0.0,0.018776,0.06474,0.305625,51.0334,118.6505,953.4994,177.9663,0.049661,-0.0026,37.6042,-11.4346,1.3142
1630,714,20864000,-191561.8438,0.9431,0.8094,3311.1,0.45,0.55,0.0,0.008177,0.003125,0.296927,67.5827,231.8311,1152.2629,156.4165,0.051172,-0.0021,34.7929,-11.8193,1.317
1640,759,20992000,-160880.75,0.9862,0.6911,3407.0,0.4,0.6,0.0,0.005104,0.066797,0.305807,64.0331,219.3013,956.6989,178.0663,0.050781,-0.0026,36.793,-11.6438,1.319
1650,798,21120000,-213462.8281,0.949,0.6421,3699.1,0.3,0.7,0.0,0.016849,0.008802,0.267865,36.8,282.0327,1311.4412,161.7832,0.05612,-0.0023,33.5061,-12.2241,1.3206
1660,828,21248000,-160347.5156,0.9595,0.7276,3353.6,0.55,0.45,0.0,0.024766,0.06151,0.312865,51.1834,48.4004,1022.7985,163.4831,0.047943,-0.0026,38.5704,-11.5143,1.3214
1670,874,21376000,-115673.0781,0.9358,0.7266,2901.2,0.7,0.3,0.0,0.010339,0.027995,0.268568,120.8989,86.0672,642.6266,161.4831,0.056536,-0.0018,32.8046,-12.032,1.3247
1680,912,21504000,-170608.7969,0.9777,0.7422,3513.4,0.4,0.6,0.0,0.008568,0.050651,0.298073,45.0833,80.8834,1086.7278,177.633,0.053229,-0.0024,36.3239,-11.6819,1.3265
1690,949,21632000,-162423.7188,0.9579,0.7467,3357.1,0.6,0.4,0.0,0.006667,0.068906,0.330391,93.8168,58.4335,991.7679,172.2331,0.047891,-0.0027,40.2764,-11.6198,1.3281
1700,989,21760000,-172695.6875,0.963,0.7444,3391.9,0.5,0.5,0.0,0.003281,0.020677,0.303568,13.7,130.8006,1115.045,172.5497,0.055885,-0.0017,35.4253,-11.9561,1.3307
1710,1030,21888000,-111019.2969,0.9846,0.7309,3046.6,0.7,0.3,0.0,0.013333,0.060443,0.282682,25.4666,41.3333,723.8333,181.5329,0.051146,-0.0021,35.2681,-11.7937,1.3347
1720,1073,22016000,-131180.4531,0.9561,0.705,3220.0,0.6,0.4,0.0,0.010833,0.001146,0.187708,58.4669,236.2995,757.5792,172.5164,0.06625,-0.0024,25.9385,-12.8602,1.3367
1730,1109,22144000,-143281.3281,0.9866,0.7239,3265.5,0.6,0.4,0.0,0.015599,0.096667,0.258359,21.3167,188.8169,892.0112,175.433,0.054792,-0.002,33.6361,-11.7794,1.339
1740,1155,22272000,-75423.0312,0.9921,0.7376,2771.9,0.75,0.25,0.0,0.023151,0.039948,0.250885,26.8333,101.6676,465.0677,180.783,0.056719,-0.0024,31.3152,-12.3234,1.3428
1750,1194,22400000,-197144.3125,0.9544,0.691,3468.8,0.4,0.6,0.0,0.016224,0.072422,0.257812,33.4502,262.0978,1213.269,168.4497,0.057057,-0.0023,32.3452,-12.0441,1.3424
1760,1232,22528000,-134387.1406,0.9883,0.7143,3222.9,0.7,0.3,0.0,0.012734,0.029896,0.276458,15.4167,122.2007,861.8278,179.3496,0.058776,-0.0022,32.8396,-12.4405,1.3428
1770,1272,22656000,-161352.4219,0.9387,0.7488,3154.7,0.6,0.4,0.0,0.029948,0.026458,0.238464,49.4835,85.6673,1018.4279,163.3997,0.060234,-0.0024,31.2773,-12.4587,1.3449
1780,1312,22784000,-137213.1406,0.9965,0.7469,3263.9,0.65,0.35,0.0,0.019401,0.018255,0.25224,76.25,97.45,828.6831,188.8995,0.05901,-0.0023,33.0486,-12.4176,1.3475
1790,1347,22912000,-145528.625,0.9882,0.8138,3261.1,0.55,0.45,0.0,0.020911,0.041667,0.27401,50.6835,157.7837,887.8937,180.4163,0.052786,-0.0023,33.5604,-12.3095,1.3508
1800,1394,23040000,-117296.3359,0.9849,0.7328,3130.1,0.6,0.4,0.0,0.009089,0.020703,0.203073,41.2168,178.3333,703.3821,188.1995,0.062552,-0.0021,26.7978,-13.2119,1.3549
1810,1432,23168000,-111404.6016,0.9924,0.7763,3123.4,0.6,0.4,0.0,0.01112,0.040469,0.271406,38.5666,20.8667,720.4321,186.7829,0.050339,-0.0024,33.4718,-12.5507,1.3572
1820,1471,23296000,-175187.4688,0.9595,0.77,3561.6,0.4,0.6,0.0,0.004219,0.060104,0.228359,48.7332,108.1331,1103.0754,180.1162,0.058776,-0.002,29.832,-12.8852,1.3593
1830,1514,23424000,-78257.2109,0.9932,0.7542,2867.2,0.85,0.15,0.0,0.005885,0.015312,0.195859,22.35,8.45,520.4387,189.3329,0.062578,-0.0017,23.6386,-13.4178,1.3624
1840,1552,23552000,-99245.4766,0.9822,0.7817,3099.2,0.65,0.35,0.0,0.019922,0.047031,0.210286,21.8,22.0667,654.8304,188.9329,0.055104,-0.0022,28.7505,-13.3945,1.3646
1850,1595,23680000,-100258.6719,0.9763,0.7697,3083.9,0.75,0.25,0.0,0.010078,0.005052,0.184766,38.6835,53.6672,634.0451,178.5996,0.063698,-0.0023,24.2248,-14.0753,1.3656
1860,1640,23808000,-86314.0156,0.997,0.7792,2993.1,0.65,0.35,0.0,0.003151,0.030234,0.188698,24.85,108.8336,537.0341,188.7329,0.065365,-0.002,24.1242,-13.8525,1.368
1870,1684,23936000,-90357.4688,0.9862,0.7139,3147.8,0.75,0.25,0.0,0.01375,0.017161,0.127604,11.9167,82.4506,585.4167,186.2829,0.063932,-0.0019,19.9179,-14.4207,1.3682
1880,1724,24064000,-50852.7578,0.9987,0.7293,2717.4,0.95,0.05,0.0,0.003385,0.019714,0.200234,26.2499,4.0333,335.5514,190.2829,0.056927,-0.0018,24.9056,-13.7963,1.3703
1890,1767,24192000,-57182.3359,0.9978,0.7623,2897.0,0.85,0.15,0.0,0.00263,0.009323,0.097917,18.8667,12.0,381.5983,188.7662,0.070599,-0.002,16.1932,-14.9557,1.3715
1900,1814,24320000,-45533.0938,0.9971,0.7007,2842.9,0.8,0.2,0.0,0.002292,0.029036,0.108542,10.2667,89.9998,286.9832,195.3995,0.068932,-0.002,14.7865,-14.7583,1.3738
1910,1853,24448000,-67125.8438,0.9949,0.7305,3101.8,0.75,0.25,0.0,0.005078,0.021771,0.12875,10.25,21.2333,452.8664,190.4662,0.066719,-0.0015,19.7511,-14.4786,1.3749
1920,1898,24576000,-46245.2344,0.9904,0.744,2850.2,0.85,0.15,0.0,0.006276,0.011875,0.082396,19.7499,99.0343,278.5341,190.6996,0.068099,-0.0019,11.7295,-15.0109,1.3777
1930,1938,24704000,-36329.8047,0.999,0.8189,2889.5,0.85,0.15,0.0,0.00237,0.011563,0.089583,10.1167,28.4667,246.9486,202.0327,0.068854,-0.0019,12.7245,-14.837,1.3819
1940,1984,24832000,-50930.582,0.9902,0.7405,3182.4,0.7,0.3,0.0,0.005052,0.02888,0.086562,21.4167,48.8001,324.6832,200.1994,0.068698,-0.0019,13.2485,-14.7296,1.3845
1950,2032,24960000,-28593.6191,0.9987,0.6847,2736.0,0.95,0.05,0.0,0.004062,0.012448,0.041589,10.5333,0.3333,204.5653,197.6328,0.072292,-0.0015,6.1819,-15.1188,1.3879
1960,2073,25088000,-20524.6602,0.9997,0.746,2857.2,0.95,0.05,0.0,0.003906,0.000208,0.048854,10.6667,1.5667,150.2825,210.0826,0.07151,-0.0016,7.3705,-15.1402,1.3895
