update,episodes,env_steps,mean_ep_reward,mean_ep_coverage,coverage_ratio,mean_ep_length,completion_rate,timeout_rate,collision_end_rate,wall_collision_rate,robot_collision_rate,human_collision_rate,wall_collisions_per_episode,robot_collisions_per_episode,human_collisions_per_episode,guide_hits_per_episode,guide_hit_rate,actor_loss,critic_loss,entropy,std
870,8,11136000,1510.9854,1.0,0.8269,2435.8,1.0,0.0,0.0,0.001901,0.0,0.0,1.8333,0.0,0.0,90.3334,0.014687,-0.0018,0.3848,-1.1778,1.0192
880,58,11264000,-55.8356,1.0,0.7937,2884.2,1.0,0.0,0.0,0.008203,0.016719,0.0,30.0166,0.5667,0.0,88.0001,0.017266,-0.002,1.2255,-1.3296,1.0198
890,106,11392000,-5029.2295,0.9987,0.7907,2951.6,0.95,0.05,0.0,0.002682,0.0,0.0,17.55,102.0006,0.0,87.2667,0.027917,-0.0021,0.6146,-1.6011,1.0175
900,159,11520000,457.4287,1.0,0.7411,2634.4,1.0,0.0,0.0,0.000729,0.01349,0.0,8.6667,7.3333,0.0,87.3834,0.030599,-0.0014,1.124,-1.9642,1.0156
910,213,11648000,929.696,1.0,0.7027,2336.1,1.0,0.0,0.0,0.003542,0.01724,0.0,4.3,8.4833,0.0,90.9001,0.032318,-0.0015,1.3283,-1.9194,1.0286
920,268,11776000,984.484,1.0,0.6784,2287.6,1.0,0.0,0.0,0.009219,0.011667,0.0,15.9667,0.3333,0.0,88.9001,0.030703,-0.0013,1.1522,-2.3039,1.0347
930,324,11904000,-170.8097,1.0,0.5931,2446.8,1.0,0.0,0.0,0.002318,0.004115,0.0,39.1168,4.0,0.0,87.2834,0.030938,-0.0027,0.7647,-2.1635,1.0395
940,380,12032000,871.1785,1.0,0.5833,2237.9,1.0,0.0,0.0,0.009531,0.000104,0.0,11.4,6.0,0.0,89.8334,0.038932,-0.0021,0.7985,-2.3873,1.035
950,434,12160000,111.9569,1.0,0.6039,2421.1,1.0,0.0,0.0,0.008411,0.000312,0.0,36.4,2.8333,0.0,89.0834,0.040625,-0.0016,0.7767,-2.5184,1.0347
960,492,12288000,1118.8297,1.0,0.5951,2247.4,1.0,0.0,0.0,0.019687,0.000312,0.0,14.4166,0.8667,0.0,89.6834,0.044922,-0.0017,1.1239,-2.6575,1.0379
970,545,12416000,-1213.1145,1.0,0.674,2257.1,1.0,0.0,0.0,0.022057,0.003802,0.0,70.6492,13.1667,0.0,91.1501,0.041719,-0.0025,1.2371,-2.6817,1.051
980,605,12544000,1507.567,1.0,0.658,2090.6,1.0,0.0,0.0,0.007187,0.015156,0.0,12.4166,0.2333,0.0,95.1168,0.044271,-0.0019,1.4231,-2.5175,1.0548
990,662,12672000,1217.9805,1.0,0.6685,2116.9,1.0,0.0,0.0,0.011563,0.043021,0.0,15.0166,1.9333,0.0,94.4834,0.041797,-0.0028,2.6981,-2.5006,1.064
1000,727,12800000,-5373.6035,0.9897,0.6057,2086.7,0.95,0.05,0.0,0.001276,0.013958,0.0,4.0333,134.3341,0.0,92.2001,0.04862,-0.0017,1.2553,-2.5704,1.0697
1010,783,12928000,-3484.3618,0.9993,0.6992,2117.6,0.95,0.05,0.0,0.002318,0.033906,0.0,9.8833,95.1826,0.0,92.8668,0.044557,-0.0023,2.0378,-2.3502,1.0736
1020,846,13056000,1130.9541,1.0,0.6507,2079.4,1.0,0.0,0.0,0.001849,0.0,0.0,16.3333,2.2,0.0,92.8168,0.044479,-0.0016,0.7106,-2.4257,1.0759
1030,909,13184000,1172.8567,1.0,0.5903,2091.2,1.0,0.0,0.0,0.00888,0.006042,0.0,13.8667,3.4,0.0,94.0001,0.046198,-0.0022,1.0981,-2.4943,1.0732
1040,972,13312000,781.356,1.0,0.5673,2122.6,1.0,0.0,0.0,0.0075,0.013333,0.0,27.3669,2.65,0.0,93.7001,0.048021,-0.0018,1.3774,-2.8063,1.0732
1050,1027,13440000,1682.947,1.0,0.6672,2106.1,1.0,0.0,0.0,0.007917,0.004323,0.0,3.8333,0.1667,0.0,91.9668,0.042422,-0.0017,0.989,-3.0052,1.0731
1060,1087,13568000,1663.6135,1.0,0.6502,2131.2,1.0,0.0,0.0,0.003464,0.002135,0.0,4.1833,0.7333,0.0,94.5001,0.042604,-0.0023,0.8327,-3.0622,1.0684
1070,1150,13696000,-2772.5769,0.9978,0.623,2112.1,0.95,0.05,0.0,0.008906,0.043047,0.0,4.5,89.0655,0.0,94.4501,0.041276,-0.0017,2.5665,-2.7626,1.0783
1080,1211,13824000,1292.9187,1.0,0.6482,1992.8,1.0,0.0,0.0,0.003542,0.013542,0.0,7.45,9.1333,0.0,95.8168,0.04526,-0.0016,1.241,-2.4611,1.0856
1090,1276,13952000,1760.2565,1.0,0.634,1974.8,1.0,0.0,0.0,0.002604,0.000521,0.0,5.7167,0.6,0.0,94.7168,0.048828,-0.0017,0.7686,-2.6918,1.0775
1100,1336,14080000,1174.1969,1.0,0.6704,2097.4,1.0,0.0,0.0,0.012969,0.004323,0.0,4.9333,11.05,0.0,94.7501,0.052031,-0.002,1.2406,-2.7972,1.0714
