update,episodes,mean_ep_reward,mean_ep_coverage,coverage_ratio,actor_loss,critic_loss,entropy,std
10,16,-427.8008,0.3164,0.3891,-0.0047,0.2075,0.98,0.9879
20,40,360.8173,0.5772,0.1788,-0.0036,0.2373,0.3698,0.9727
30,56,504.8799,0.6341,0.5294,-0.0032,0.1741,-0.1245,0.959
40,80,422.507,0.607,0.3224,-0.0042,0.2552,-1.0015,0.947
50,96,442.816,0.5988,0.6122,-0.0052,0.1182,-1.0329,0.9329
60,120,524.1753,0.6151,0.3609,-0.0059,0.1351,-1.8665,0.92
70,136,529.3878,0.6048,0.5186,-0.0052,0.0923,-2.3063,0.9117
80,160,495.8655,0.5652,0.4698,-0.0039,0.1762,-2.4669,0.8998
90,184,496.1135,0.5598,0.0919,-0.0043,0.4183,-2.4399,0.8866
100,200,496.7673,0.5613,0.4805,-0.0054,0.1111,-2.8133,0.8824
110,224,513.0909,0.6248,0.2889,-0.0047,0.4617,-2.8715,0.8841
120,240,427.0495,0.6379,0.5873,-0.005,0.2131,-2.7352,0.8837
130,264,471.195,0.6343,0.3882,-0.0059,0.2515,-2.9824,0.872
140,280,505.4163,0.6778,0.6602,-0.0052,0.2137,-2.9938,0.8643
150,304,576.6405,0.6687,0.4019,-0.0048,0.2259,-3.203,0.8512
160,320,548.3442,0.6621,0.6635,-0.0049,0.1148,-3.2648,0.8438
170,344,582.68,0.6896,0.536,-0.0054,0.167,-3.4068,0.8376
180,368,611.8422,0.6858,0.1469,-0.0044,0.3629,-3.6521,0.8268
190,384,571.898,0.6495,0.5757,-0.0054,0.1864,-3.4925,0.814
200,408,492.2503,0.6132,0.3071,-0.0059,0.319,-3.3245,0.8062
210,424,509.1561,0.6268,0.6358,-0.0057,0.1559,-3.5824,0.7975
220,448,586.9578,0.6856,0.4114,-0.0053,0.2201,-3.8442,0.7891
230,464,568.1288,0.6583,0.6407,-0.0061,0.074,-4.1076,0.7755
240,488,531.5173,0.6512,0.4491,-0.0043,0.1691,-3.8606,0.7642
250,512,503.0634,0.655,0.6925,-0.0072,0.2355,-4.1418,0.7609
260,528,568.6033,0.6576,0.5393,-0.0059,0.1296,-4.5442,0.7491
270,552,499.4155,0.6553,0.2173,-0.0061,0.3942,-4.4637,0.7445
280,568,466.6241,0.6621,0.5948,-0.007,0.1211,-5.0797,0.7429
290,592,555.0342,0.6551,0.351,-0.0057,0.3965,-5.6011,0.7343
300,608,577.4069,0.6755,0.668,-0.0071,0.0991,-5.5063,0.7242
310,632,591.4232,0.6904,0.4267,-0.0069,0.1866,-5.8887,0.7149
320,648,509.1557,0.6737,0.6854,-0.0069,0.0609,-5.9294,0.7117
330,672,582.7371,0.68,0.5497,-0.0074,0.1976,-5.9688,0.7011
340,696,497.0008,0.6555,0.0832,-0.0055,0.3768,-5.7107,0.6925
350,712,470.8581,0.6674,0.5811,-0.0068,0.1842,-5.6755,0.6833
360,736,575.8545,0.6954,0.2641,-0.0056,0.3792,-5.7273,0.6751
370,752,508.976,0.6654,0.6411,-0.0072,0.1606,-6.2,0.672
380,776,565.233,0.6944,0.3916,-0.0075,0.2106,-6.3057,0.6646
