update,episodes,mean_ep_reward,mean_ep_coverage,coverage_ratio,actor_loss,critic_loss,entropy,std
10,16,-427.8008,0.3164,0.3891,-0.0047,0.2075,0.98,0.9879
20,40,360.8173,0.5772,0.1788,-0.0036,0.2373,0.3698,0.9727
30,56,504.8799,0.6341,0.5294,-0.0032,0.1741,-0.1245,0.959
40,80,422.507,0.607,0.3224,-0.0042,0.2552,-1.0015,0.947
50,96,442.816,0.5988,0.6122,-0.0052,0.1182,-1.0329,0.9329
60,120,524.1753,0.6151,0.3609,-0.0059,0.1351,-1.8665,0.92
70,136,529.3878,0.6048,0.5186,-0.0052,0.0923,-2.3063,0.9117
80,160,495.8655,0.5652,0.4698,-0.0039,0.1762,-2.4669,0.8998
90,184,496.1135,0.5598,0.0919,-0.0043,0.4183,-2.4399,0.8866
100,200,496.7673,0.5613,0.4805,-0.0054,0.1111,-2.8133,0.8824
110,224,513.0909,0.6248,0.2889,-0.0047,0.4617,-2.8715,0.8841
120,240,427.0495,0.6379,0.5873,-0.005,0.2131,-2.7352,0.8837
130,264,471.195,0.6343,0.3882,-0.0059,0.2515,-2.9824,0.872
140,280,505.4163,0.6778,0.6602,-0.0052,0.2137,-2.9938,0.8643
150,304,576.6405,0.6687,0.4019,-0.0048,0.2259,-3.203,0.8512
