update,episodes,env_steps,mean_ep_reward,mean_ep_coverage,coverage_ratio,mean_ep_length,completion_rate,timeout_rate,collision_end_rate,wall_collision_rate,robot_collision_rate,human_collision_rate,wall_collisions_per_episode,robot_collisions_per_episode,human_collisions_per_episode,guide_hits_per_episode,guide_hit_rate,actor_loss,critic_loss,entropy,std
1010,49,12928000,2823.822,1.0,0.6251,2068.0,1.0,0.0,0.0,0.001562,0.0,0.0,5.9167,5.1,0.0,190.0662,0.09724,-0.0016,0.7446,-12.5011,1.21
1020,99,13056000,3198.4077,1.0,0.8627,2108.6,1.0,0.0,0.0,0.008177,0.000104,0.0,4.8,1.0667,0.0,192.0495,0.088646,-0.001,1.4026,-11.9294,1.21
1030,157,13184000,950.3786,1.0,0.8283,2067.8,1.0,0.0,0.0,0.001693,0.000677,0.0,19.6999,0.2,0.0,187.583,0.087552,-0.0018,0.6292,-11.6031,1.2106
1040,225,13312000,-529.0814,1.0,0.7221,2000.0,1.0,0.0,0.0,0.00125,0.013333,0.0,29.35,1.0667,0.0,182.983,0.090208,-0.0014,1.0761,-11.654,1.214
1050,296,13440000,3550.1418,1.0,0.6232,2051.8,1.0,0.0,0.0,0.002292,0.012917,0.0,2.2667,0.7667,0.0,190.3496,0.095313,-0.0015,1.214,-12.1435,1.2182
1060,351,13568000,3647.271,1.0,0.751,2135.3,1.0,0.0,0.0,0.000964,0.0,0.0,2.2167,0.4,0.0,195.8828,0.093203,-0.0016,0.5776,-11.8773,1.2171
1070,413,13696000,3681.6411,1.0,0.7726,1953.4,1.0,0.0,0.0,0.000729,0.002604,0.0,1.65,0.9,0.0,185.1496,0.091172,-0.0014,0.6138,-11.9333,1.2174
1080,483,13824000,3551.9875,1.0,0.6834,1889.2,1.0,0.0,0.0,0.001328,0.01375,0.0,2.3,0.5,0.0,180.8997,0.093542,-0.0013,1.0765,-12.1787,1.2182
1090,550,13952000,3400.4011,1.0,0.6315,1949.2,1.0,0.0,0.0,0.001432,0.013437,0.0,3.1833,0.5667,0.0,182.2163,0.091094,-0.0016,1.1661,-12.3278,1.2181
1100,606,14080000,-2203.7224,0.998,0.7404,2176.1,0.95,0.05,0.0,0.000859,0.022526,0.0,2.35,112.7826,0.0,189.0496,0.086849,-0.0014,1.2619,-12.0554,1.2223
1110,671,14208000,3689.1868,1.0,0.6971,1984.7,1.0,0.0,0.0,0.001302,0.013802,0.0,1.75,0.3333,0.0,185.0829,0.092266,-0.0019,1.1405,-12.0796,1.2213
1120,739,14336000,3405.2402,1.0,0.6361,2025.5,1.0,0.0,0.0,0.001068,0.027083,0.0,1.4,6.0,0.0,185.6496,0.092917,-0.0015,1.571,-12.1975,1.2249
1130,799,14464000,2929.8906,1.0,0.7256,2002.3,1.0,0.0,0.0,0.000443,0.013594,0.0,5.8333,2.3167,0.0,186.0163,0.090755,-0.0014,1.0431,-12.2422,1.2302
1140,865,14592000,-4127.5415,0.9879,0.6986,2003.4,0.95,0.05,0.0,0.006432,0.004974,0.0,2.7833,148.2992,0.0,176.4164,0.092578,-0.0021,1.258,-12.3609,1.2347
1150,930,14720000,3412.6509,1.0,0.7011,1963.6,1.0,0.0,0.0,0.000495,0.000208,0.0,1.3833,7.6,0.0,183.483,0.095286,-0.0016,0.5424,-12.7809,1.2357
1160,992,14848000,3633.4368,1.0,0.7287,2002.4,1.0,0.0,0.0,0.001354,0.022135,0.0,1.1,3.9,0.0,188.1663,0.092708,-0.0014,1.4775,-13.0137,1.2395
1170,1055,14976000,-3271.3965,1.0,0.7048,2156.2,1.0,0.0,0.0,0.000911,0.000365,0.0,1.85,136.3659,0.0,187.7829,0.095339,-0.0016,0.5394,-13.0831,1.2414
1180,1118,15104000,3262.9927,1.0,0.7306,1960.8,1.0,0.0,0.0,0.000547,5.2e-05,0.0,4.2333,0.4333,0.0,185.683,0.094792,-0.0016,0.4747,-13.3757,1.24
1190,1187,15232000,2977.5979,1.0,0.6736,1928.1,1.0,0.0,0.0,0.000911,0.014115,0.0,6.0167,1.6667,0.0,182.1497,0.091719,-0.0009,1.112,-12.9639,1.2414
1200,1247,15360000,-424.201,1.0,0.7397,2094.6,1.0,0.0,0.0,0.000521,0.0,0.0,2.1667,80.3323,0.0,189.1996,0.093854,-0.0013,0.5103,-12.9943,1.2416
1210,1311,15488000,-830.5316,1.0,0.7335,1994.3,1.0,0.0,0.0,0.002552,5.2e-05,0.0,31.5,0.3333,0.0,182.6663,0.093125,-0.0012,0.6863,-12.9049,1.2433
1220,1380,15616000,3670.7222,1.0,0.6388,1979.6,1.0,0.0,0.0,0.007214,0.0,0.0,1.4667,0.4,0.0,182.3497,0.091042,-0.0007,1.3106,-12.9999,1.2435
1230,1444,15744000,2281.1909,1.0,0.6277,2132.7,1.0,0.0,0.0,0.000495,0.000104,0.0,10.9166,0.9333,0.0,192.5662,0.094219,-0.0015,0.5344,-13.0591,1.2426
1240,1501,15872000,3609.7747,1.0,0.7586,2133.4,1.0,0.0,0.0,0.000312,5.2e-05,0.0,2.35,0.6333,0.0,191.4829,0.092917,-0.0016,0.479,-13.2131,1.2418
1250,1566,16000000,3738.5242,1.0,0.7174,1997.5,1.0,0.0,0.0,0.004245,0.0,0.0,1.3167,0.2,0.0,184.433,0.091875,-0.0018,0.8835,-13.5159,1.2433
