policy,episode,seed,num_humans,steps,completion_time_steps,completion_time_seconds,coverage_rate,covered_cells,completion,timeout,collision_end,team_return,wall_collisions,robot_collisions,human_collisions,all_collisions,wall_collision_rate,robot_collision_rate,human_collision_rate,all_collision_rate,revisits,cell_entries,sweep_efficiency
Plain BOSCO (0 humans),0,0,0,4000,nan,nan,0.6328125,243.0,0.0,1.0,0.0,-215351.11442080885,6476.0,0.0,0.0,6476.0,0.5396666666666666,0.0,0.0,0.5396666666666666,nan,nan,nan
Plain BOSCO (0 humans),1,0,0,4000,nan,nan,0.5963541865348816,229.0,0.0,1.0,0.0,-197681.79486851394,6315.0,0.0,0.0,6315.0,0.52625,0.0,0.0,0.52625,nan,nan,nan
Plain BOSCO (0 humans),2,0,0,4000,nan,nan,0.09375,36.0,0.0,1.0,0.0,-364671.09172844887,11715.0,0.0,0.0,11715.0,0.97625,0.0,0.0,0.97625,nan,nan,nan
Plain BOSCO (0 humans),3,0,0,4000,nan,nan,0.4661458432674408,179.0,0.0,1.0,0.0,-232384.67422693968,7408.0,0.0,0.0,7408.0,0.6173333333333333,0.0,0.0,0.6173333333333333,nan,nan,nan
Plain BOSCO (0 humans),4,0,0,4000,nan,nan,0.5052083730697632,194.0,0.0,1.0,0.0,-321457.2379465103,10442.0,0.0,0.0,10442.0,0.8701666666666666,0.0,0.0,0.8701666666666666,nan,nan,nan
Plain BOSCO (0 humans),5,0,0,4000,nan,nan,0.3645833432674408,140.0,0.0,1.0,0.0,-331881.02412968874,10697.0,0.0,0.0,10697.0,0.8914166666666666,0.0,0.0,0.8914166666666666,nan,nan,nan
Plain BOSCO (0 humans),6,0,0,4000,nan,nan,0.5651041865348816,217.0,0.0,1.0,0.0,-222725.6633368507,7120.0,0.0,0.0,7120.0,0.5933333333333334,0.0,0.0,0.5933333333333334,nan,nan,nan
Plain BOSCO (0 humans),7,0,0,4000,nan,nan,0.3802083432674408,146.0,0.0,1.0,0.0,-411480.47486782074,4065.0,5536.0,0.0,9601.0,0.33875,0.4613333333333333,0.0,0.8000833333333334,nan,nan,nan
Plain BOSCO (0 humans),8,0,0,4000,nan,nan,0.4869791865348816,187.0,0.0,1.0,0.0,-226691.89180472493,7254.0,0.0,0.0,7254.0,0.6045,0.0,0.0,0.6045,nan,nan,nan
Plain BOSCO (0 humans),9,0,0,4000,nan,nan,0.3854166865348816,148.0,0.0,1.0,0.0,-219032.04643300176,6910.0,0.0,0.0,6910.0,0.5758333333333333,0.0,0.0,0.5758333333333333,nan,nan,nan
Plain BOSCO (0 humans),10,0,0,4000,nan,nan,0.5,192.0,0.0,1.0,0.0,-118118.82841017842,3619.0,0.0,0.0,3619.0,0.3015833333333333,0.0,0.0,0.3015833333333333,nan,nan,nan
Plain BOSCO (0 humans),11,0,0,4000,nan,nan,0.4765625,183.0,0.0,1.0,0.0,-312579.50670808554,106.0,5878.0,0.0,5984.0,0.008833333333333334,0.48983333333333334,0.0,0.49866666666666665,nan,nan,nan
Plain BOSCO (0 humans),12,0,0,4000,nan,nan,0.4609375,177.0,0.0,1.0,0.0,-216889.98080849648,6897.0,0.0,0.0,6897.0,0.57475,0.0,0.0,0.57475,nan,nan,nan
Plain BOSCO (0 humans),13,0,0,4000,nan,nan,0.3958333432674408,152.0,0.0,1.0,0.0,-227349.79125975072,7211.0,0.0,0.0,7211.0,0.6009166666666667,0.0,0.0,0.6009166666666667,nan,nan,nan
Plain BOSCO (0 humans),14,0,0,4000,nan,nan,0.7005208730697632,269.0,0.0,1.0,0.0,-206883.21671690047,6621.0,0.0,0.0,6621.0,0.55175,0.0,0.0,0.55175,nan,nan,nan
Plain BOSCO (0 humans),15,0,0,4000,nan,nan,0.6901041865348816,265.0,0.0,1.0,0.0,-292995.53628253937,9481.0,0.0,0.0,9481.0,0.7900833333333334,0.0,0.0,0.7900833333333334,nan,nan,nan
Plain BOSCO (0 humans),16,0,0,4000,nan,nan,0.4114583432674408,158.0,0.0,1.0,0.0,-132487.56251585484,4011.0,0.0,0.0,4011.0,0.33425,0.0,0.0,0.33425,nan,nan,nan
Plain BOSCO (0 humans),17,0,0,4000,nan,nan,0.2083333432674408,80.0,0.0,1.0,0.0,-129127.23371422291,3853.0,0.0,0.0,3853.0,0.32108333333333333,0.0,0.0,0.32108333333333333,nan,nan,nan
Plain BOSCO (0 humans),18,0,0,4000,nan,nan,0.3255208432674408,125.0,0.0,1.0,0.0,-223712.3111614138,7143.0,0.0,0.0,7143.0,0.59525,0.0,0.0,0.59525,nan,nan,nan
